,Package,Version
13,android-framework-res,1:10.0.0+r36-5
34,arp-scan,1.9.7-2
58,bind9-dnsutils,1:9.18.0-2
78,btscanner,2.1-9
84,burpsuite,2021.10.3-0kali1
106,cisco-auditing-tool,1.0-1kali4
107,cisco-global-exploiter,13-1kali4
191,dns-root-data,2021011101
192,dns2tcp,0.5.2-3
193,dnschef,0.4+git20190327-0kali2
194,dnsenum,1.3.0-5
195,dnsmap,0.36-1
196,dnsmasq-base,2.86-1.1
197,dnsrecon,1.0.0-1
198,dnstracer,1.9-7
199,dnswalk,2.0.2.dfsg.1-3
243,exploitdb,20220129-0kali1
300,framework2,2.0-1kali2
441,ike-scan,1.9.5-1
477,joomscan,0.0.7-0kali2
585,libaudit-common,1:3.0.6-1
586,libaudit1:amd64,1:3.0.6-1+b1
760,libdns-export1110,1:9.11.19+dfsg-2.1
1176,libnet-dns-perl,1.33-1
1177,libnet-dns-sec-perl,1.19-1+b1
1232,libnss-mdns:amd64,0.15.1-1
1797,masscan,2:1.3.2+ds1-1
1814,metasploit-framework,6.2.1-0kali1
1835,nbtscan,1.7.2-1
1912,oscanner,1.0.6-1kali2
2025,python3-aiodns,3.0.0-1
2045,python3-apispec-webframeworks,0.5.2-0kali1
2114,python3-dnslib,0.9.19-1
2115,python3-dnspython,2.2.0-2
2316,python3-pyexploitdb,0.2.0+20190604-0kali5
2486,qsslcaudit,0.8.1-0kali2
2504,recon-ng,5.1.2-1
2533,ruby-async-dns,1.2.5-0kali1
2542,ruby-cms-scanner,0.13.6-0kali2
2610,ruby-rubydns,1.0.3-3
2653,sane-airscan,0.99.27-1
2659,sctpscan,0.1-1kali3
2715,sslscan,2.0.11-0kali2
2790,unicornscan,0.4.7-1kali3
2791,uniscan,6.3-0kali2
2840,wireless-regdb,2021.08.28-1
2841,wireless-tools,30~pre9-13.1
2847,wpscan,3.8.20-0kali2
